03/13/2020 07:49:29 PM 
------------ Options -------------
data-dir: ../../datasets/CASIA-WebFace
batch_size: 200
epochs: 3
training_name: test
Opt: 1
Opt_level: O2
Cropping: 0
-------------- End ---------------
03/13/2020 07:49:45 PM Valid |   132/419  | loss:    9.8612 | fps: 2934.4395 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   133/419  | loss:    9.8606 | fps: 2935.0396 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   134/419  | loss:    9.8607 | fps: 2935.4341 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   135/419  | loss:    9.8613 | fps: 2936.7683 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   136/419  | loss:    9.8613 | fps: 2936.2317 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   137/419  | loss:    9.8611 | fps: 2936.2825 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   138/419  | loss:    9.8610 | fps: 2935.7263 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   139/419  | loss:    9.8614 | fps: 2935.7754 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   140/419  | loss:    9.8615 | fps: 2936.7380 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   141/419  | loss:    9.8615 | fps: 2935.8293 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   142/419  | loss:    9.8616 | fps: 2938.3555 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   143/419  | loss:    9.8613 | fps: 2938.8240 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   144/419  | loss:    9.8609 | fps: 2937.5747 | acc:    0.0000   
03/13/2020 07:49:45 PM Valid |   145/419  | loss:    9.8607 | fps: 2939.8240 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   146/419  | loss:    9.8606 | fps: 2939.5869 | acc:    0.0000   
03/13/2020 07:49:46 PM Valid |   147/419  | loss:    9.8601 | fps: 2939.4539 | acc:    0.0000   
